timestamp,comune,provincia,temperatura
2026-08-06T12:01:25.634Z,Realmonte,AG,30.8
2026-08-06T12:01:25.634Z,Ribera,AG,31.3
2026-08-06T12:01:25.634Z,Sambuca di Sicilia,AG,34.8
2026-08-06T12:01:25.634Z,San Biagio Platani,AG,33
2026-08-06T12:01:25.634Z,San Giovanni Gemini,AG,26.3
2026-08-06T12:01:25.634Z,Santa Elisabetta,AG,33.8
2026-08-06T12:01:25.634Z,Santa Margherita di Belice,AG,36.2
2026-08-06T12:01:25.634Z,Sant'Angelo Muxaro,AG,33
2026-08-06T12:01:25.634Z,Santo Stefano Quisquina,AG,19.5
2026-08-06T12:01:25.634Z,Sciacca,AG,32.9
2026-08-06T12:01:25.634Z,Siculiana,AG,31.2
2026-08-06T12:01:25.634Z,Villafranca Sicula,AG,33.6
2026-08-06T12:01:25.634Z,Acquaviva Platani,CL,35.3
2026-08-06T12:01:25.634Z,Bompensiere,CL,34.8
2026-08-06T12:01:25.634Z,Butera,CL,34.2
2026-08-06T12:01:25.634Z,Caltanissetta,CL,34.3
2026-08-06T12:01:25.634Z,Campofranco,CL,34.8
2026-08-06T12:01:25.634Z,Delia,CL,34.5
2026-08-06T12:01:25.634Z,Gela,CL,33.6
2026-08-06T12:01:25.634Z,Marianopoli,CL,34.3
2026-08-06T12:01:25.634Z,Mazzarino,CL,35.4
2026-08-06T12:01:25.634Z,Milena,CL,34.8
2026-08-06T12:01:25.634Z,Montedoro,CL,36.5
2026-08-06T12:01:25.634Z,Mussomeli,CL,35.8
2026-08-06T12:01:25.634Z,Niscemi,CL,31.5
2026-08-06T12:01:25.634Z,Resuttano,CL,35.5
2026-08-06T12:01:25.634Z,Riesi,CL,35.8
2026-08-06T12:01:25.634Z,San Cataldo,CL,38.3
2026-08-06T12:01:25.634Z,Santa Caterina Villarmosa,CL,34.1
2026-08-06T12:01:25.634Z,Serradifalco,CL,33.8
2026-08-06T12:01:25.634Z,Sommatino,CL,35.8
2026-08-06T12:01:25.634Z,Sutera,CL,33.6
2026-08-06T12:01:25.634Z,Vallelunga Pratameno,CL,34.3
2026-08-06T12:01:25.634Z,Villalba,CL,34.3
2026-08-06T12:01:25.634Z,Agira,EN,34.6
2026-08-06T12:01:25.634Z,Aidone,EN,36.1
2026-08-06T12:01:25.634Z,Assoro,EN,34.6
2026-08-06T12:01:25.634Z,Barrafranca,EN,33.4
2026-08-06T12:01:25.634Z,Calascibetta,EN,35.5
2026-08-06T12:01:25.634Z,Catenanuova,EN,32.4
2026-08-06T12:01:25.634Z,Centuripe,EN,32.4
2026-08-06T12:01:25.634Z,Cerami,EN,35.8
2026-08-06T12:01:25.634Z,Enna,EN,37
2026-08-06T12:01:25.634Z,Gagliano Castelferrato,EN,32
2026-08-06T12:01:25.634Z,Leonforte,EN,34.7
2026-08-06T12:01:25.634Z,Nicosia,EN,32.8
2026-08-06T12:01:25.634Z,Nissoria,EN,34.3
2026-08-06T12:01:25.634Z,Piazza Armerina,EN,33
2026-08-06T12:01:25.634Z,Pietraperzia,EN,35.6
2026-08-06T12:01:25.634Z,Regalbuto,EN,36.9
2026-08-06T12:01:25.634Z,Sperlinga,EN,32.2
2026-08-06T12:01:25.634Z,Troina,EN,29.6
2026-08-06T12:01:25.634Z,Valguarnera Caropepe,EN,33.5
2026-08-06T12:01:25.634Z,Villarosa,EN,34.4
2026-08-06T12:01:25.634Z,Aci Bonaccorsi,CT,32.6
2026-08-06T12:01:25.634Z,Aci Castello,CT,36.1
2026-08-06T12:01:25.634Z,Aci Catena,CT,34.3
2026-08-06T12:01:25.634Z,Acireale,CT,32.9
2026-08-06T12:01:25.634Z,Aci Sant'Antonio,CT,33.7
