data,codice_istat,comune,provincia,colore,label,desc,pgrid
2026-07-14,082032,Collesano,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312227
2026-07-14,082033,Contessa Entellina,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",318048
2026-07-14,082034,Corleone,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,315450
2026-07-14,082035,Ficarazzi,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",306995
2026-07-14,082036,Gangi,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,316146
2026-07-14,082037,Geraci Siculo,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,314191
2026-07-14,082038,Giardinello,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",306980
2026-07-14,082039,Giuliana,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",320004
2026-07-14,082040,Godrano,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312852
2026-07-14,082041,Gratteri,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,310927
2026-07-14,082042,Isnello,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,311579
2026-07-14,082043,Isola delle Femmine,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",303078
2026-07-14,082044,Lascari,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",309623
2026-07-14,082045,Lercara Friddi,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,318069
2026-07-14,082046,Marineo,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,310899
2026-07-14,082047,Mezzojuso,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,314156
2026-07-14,082048,Misilmeri,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",308297
2026-07-14,082049,Monreale,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,306987
2026-07-14,082050,Montelepre,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",306981
2026-07-14,082051,Montemaggiore Belsito,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,314822
2026-07-14,082052,Palazzo Adriano,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,320011
2026-07-14,082053,Palermo,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",305688
2026-07-14,082054,Partinico,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",308280
2026-07-14,082055,Petralia Soprana,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,316141
2026-07-14,082056,Petralia Sottana,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,316141
2026-07-14,082057,Piana degli Albanesi,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,309590
2026-07-14,082058,Polizzi Generosa,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,315485
2026-07-14,082059,Pollina,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",309633
2026-07-14,082060,Prizzi,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,318712
2026-07-14,082061,Roccamena,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",314792
2026-07-14,082062,Roccapalumba,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,316118
2026-07-14,082063,San Cipirello,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",310887
2026-07-14,082064,San Giuseppe Jato,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",310236
2026-07-14,082065,San Mauro Castelverde,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312240
2026-07-14,082066,Santa Cristina Gela,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,310243
2026-07-14,082067,Santa Flavia,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",306998
2026-07-14,082068,Sciara,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312218
2026-07-14,082069,Sclafani Bagni,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,315478
2026-07-14,082070,Termini Imerese,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",310262
2026-07-14,082071,Terrasini,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",304372
2026-07-14,082072,Torretta,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",305031
2026-07-14,082073,Trabia,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",309609
2026-07-14,082074,Trappeto,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",307625
2026-07-14,082076,Valledolmo,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,318080
2026-07-14,082077,Ventimiglia di Sicilia,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312208
2026-07-14,082078,Vicari,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,315464
2026-07-14,082079,Villabate,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",306994
2026-07-14,082080,Villafrati,PA,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,312855
2026-07-14,082081,Scillato,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",314178
2026-07-14,082082,Blufi,PA,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",317442
2026-07-14,083001,Alcara li Fusi,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,310312
2026-07-14,083002,Alì,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,309046
2026-07-14,083003,Alì Terme,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,309046
2026-07-14,083004,Antillo,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,310339
2026-07-14,083005,Barcellona Pozzo di Gotto,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",305130
2026-07-14,083006,Basicò,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,307726
2026-07-14,083007,Brolo,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",304459
2026-07-14,083008,Capizzi,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,314858
2026-07-14,083009,Capo d'Orlando,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",304455
2026-07-14,083010,Capri Leone,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,307059
2026-07-14,083011,Caronia,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",308997
2026-07-14,083012,Casalvecchio Siculo,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,310994
2026-07-14,083013,Castel di Lucio,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,313548
2026-07-14,083014,Castell'Umberto,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,307062
2026-07-14,083015,Castelmola,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,314247
2026-07-14,083016,Castroreale,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,306432
2026-07-14,083017,Cesarò,ME,orange,Moderato,Sorseggia acqua frequentemente e aumenta il numero di pause in luoghi freschi.,314870
2026-07-14,083018,Condrò,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",303833
2026-07-14,083019,Falcone,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",305774
2026-07-14,083020,Ficarra,ME,red,Alto,"Bevi spesso, anche poco più di 1 L/h e programma pause frequenti in luoghi ombreggiati o aree condizionate.",306412
