data,comune,provincia,rischio
2026-07-14,Valguarnera Caropepe,EN,Alto
2026-07-14,Villarosa,EN,Alto
2026-07-14,Aci Bonaccorsi,CT,Moderato
2026-07-14,Aci Castello,CT,Alto
2026-07-14,Aci Catena,CT,Alto
2026-07-14,Acireale,CT,Alto
2026-07-14,Aci Sant'Antonio,CT,Moderato
2026-07-14,Adrano,CT,Moderato
2026-07-14,Belpasso,CT,Alto
2026-07-14,Biancavilla,CT,Moderato
2026-07-14,Bronte,CT,Moderato
2026-07-14,Calatabiano,CT,Alto
2026-07-14,Caltagirone,CT,Moderato
2026-07-14,Camporotondo Etneo,CT,Alto
2026-07-14,Castel di Iudica,CT,Alto
2026-07-14,Castiglione di Sicilia,CT,Moderato
2026-07-14,Catania,CT,Alto
2026-07-14,Fiumefreddo di Sicilia,CT,Alto
2026-07-14,Giarre,CT,Alto
2026-07-14,Grammichele,CT,Moderato
2026-07-14,Gravina di Catania,CT,Alto
2026-07-14,Licodia Eubea,CT,Moderato
2026-07-14,Linguaglossa,CT,Moderato
2026-07-14,Maletto,CT,Moderato
2026-07-14,Mascali,CT,Moderato
2026-07-14,Mascalucia,CT,Moderato
2026-07-14,Militello in Val di Catania,CT,Alto
2026-07-14,Milo,CT,Moderato
2026-07-14,Mineo,CT,Alto
2026-07-14,Mirabella Imbaccari,CT,Alto
2026-07-14,Misterbianco,CT,Alto
2026-07-14,Motta Sant'Anastasia,CT,Alto
2026-07-14,Nicolosi,CT,Moderato
2026-07-14,Palagonia,CT,Alto
2026-07-14,Paternò,CT,Alto
2026-07-14,Pedara,CT,Moderato
2026-07-14,Piedimonte Etneo,CT,Moderato
2026-07-14,Raddusa,CT,Alto
2026-07-14,Ramacca,CT,Alto
2026-07-14,Randazzo,CT,Moderato
2026-07-14,Riposto,CT,Alto
2026-07-14,San Cono,CT,Alto
2026-07-14,San Giovanni la Punta,CT,Moderato
2026-07-14,San Gregorio di Catania,CT,Moderato
2026-07-14,San Michele di Ganzaria,CT,Moderato
2026-07-14,San Pietro Clarenza,CT,Alto
2026-07-14,Sant'Agata li Battiati,CT,Alto
2026-07-14,Sant'Alfio,CT,Moderato
2026-07-14,Santa Maria di Licodia,CT,Alto
2026-07-14,Santa Venerina,CT,Moderato
2026-07-14,Scordia,CT,Alto
2026-07-14,Trecastagni,CT,Moderato
2026-07-14,Tremestieri Etneo,CT,Moderato
2026-07-14,Valverde,CT,Moderato
2026-07-14,Viagrande,CT,Moderato
2026-07-14,Vizzini,CT,Moderato
2026-07-14,Zafferana Etnea,CT,Moderato
2026-07-14,Mazzarrone,CT,Alto
2026-07-14,Maniace,CT,Alto
2026-07-14,Ragalna,CT,Moderato
2026-07-14,Acate,RG,Alto
2026-07-14,Chiaramonte Gulfi,RG,Alto
2026-07-14,Comiso,RG,Moderato
2026-07-14,Giarratana,RG,Moderato
2026-07-14,Ispica,RG,Alto
2026-07-14,Modica,RG,Alto
2026-07-14,Monterosso Almo,RG,Moderato
2026-07-14,Pozzallo,RG,Alto
2026-07-14,Ragusa,RG,Moderato
2026-07-14,Santa Croce Camerina,RG,Alto
2026-07-14,Scicli,RG,Alto
2026-07-14,Vittoria,RG,Alto
2026-07-14,Augusta,SR,Alto
2026-07-14,Avola,SR,Alto
2026-07-14,Buccheri,SR,Alto
2026-07-14,Buscemi,SR,Alto
2026-07-14,Canicattini Bagni,SR,Alto
2026-07-14,Carlentini,SR,Alto
2026-07-14,Cassaro,SR,Alto
2026-07-14,Ferla,SR,Alto
2026-07-14,Floridia,SR,Alto
2026-07-14,Francofonte,SR,Alto
2026-07-14,Lentini,SR,Alto
2026-07-14,Melilli,SR,Alto
2026-07-14,Noto,SR,Alto
2026-07-14,Pachino,SR,Alto
2026-07-14,Palazzolo Acreide,SR,Moderato
2026-07-14,Rosolini,SR,Alto
2026-07-14,Siracusa,SR,Alto
2026-07-14,Solarino,SR,Alto
2026-07-14,Sortino,SR,Alto
2026-07-14,Portopalo di Capo Passero,SR,Alto
2026-07-14,Priolo Gargallo,SR,Alto
